m,x,y,z,vx,vy,vz,ax,ay,az
1e+08,-0.0408079,-0.0398761,0.00252684,-1.59948e-11,-2.21261e-11,-3.11434e-11,2.12751e-23,2.49087e-23,8.3261e-24
1e+08,0.0295839,-0.00802975,-0.0362073,-1.54897e-15,1.14821e-13,8.65522e-12,-1.74961e-23,5.7277e-24,7.78693e-24
1e+08,0.0343774,0.0260383,0.00418129,-2.61142e-11,-1.77902e-11,-6.98097e-12,2.44264e-23,3.28531e-24,-1.42354e-23
1e+08,0.0393824,-0.0347876,0.0424175,4.37397e-12,1.29672e-11,5.84074e-12,4.52392e-25,2.02827e-23,2.01015e-23
1e+08,-0.0302746,-0.0124629,-0.0408869,-7.43556e-12,2.6905e-12,-6.64492e-12,-2.83505e-24,-3.90969e-24,1.69764e-23
1e+08,-0.00586658,0.0413465,0.0108525,1.2065e-11,-1.56144e-11,-1.93659e-11,-9.89691e-24,-2.00549e-23,-1.34277e-23
1e+08,-0.0396371,0.0414303,0.0289245,-6.68443e-12,1.6179e-12,3.19245e-12,1.72327e-23,4.94546e-24,-1.69477e-23
1e+08,-0.0220385,-0.0381683,0.029304,1.10051e-11,3.62218e-13,2.08716e-12,-8.06698e-24,3.0768e-23,1.7382e-23
1e+08,0.0207519,0.0224925,-0.035925,-1.10813e-12,-1.11326e-11,-7.34355e-13,2.5892e-23,1.32997e-23,6.17858e-24
1e+08,-0.0179439,0.0396152,0.00399399,-6.08745e-12,-4.199e-12,1.39484e-11,1.95508e-23,2.13646e-23,2.41126e-23
1e+08,0.0351079,0.00165232,0.00177421,-7.97596e-13,7.22491e-12,7.61673e-12,2.17765e-23,1.22639e-23,2.13371e-23
1e+08,0.0133607,0.00292778,-0.0199033,-5.33746e-12,-2.01951e-12,4.22081e-12,1.1814e-23,1.65917e-23,-2.89071e-23
1e+08,0.0124561,0.0195157,-0.0387888,-7.57296e-12,4.3185e-12,2.00545e-12,2.59526e-23,1.27195e-23,4.65745e-24
1e+08,-0.0375277,-0.000509297,-0.00466121,9.08094e-12,-1.23902e-11,1.29465e-11,2.13168e-23,9.32786e-25,9.62251e-24
1e+08,0.0285605,-0.0351855,0.00925869,1.38745e-11,-4.85617e-12,-7.73235e-12,6.86532e-24,-1.06887e-23,3.07363e-23
1e+08,-0.0345568,-0.0249006,-0.0306663,1.18143e-12,-3.9131e-12,-3.52491e-12,-1.51601e-23,-1.46394e-24,1.1483e-23
1e+08,0.00125903,-0.0439804,-0.0424335,-7.88557e-12,5.85827e-12,5.87547e-13,2.93736e-23,1.36809e-23,-2.06327e-23
1e+08,-0.0365833,0.0225744,0.0251832,4.83519e-12,-1.74314e-11,7.9569e-12,-3.15556e-24,1.61499e-23,1.48438e-23
1e+08,-0.042651,-0.0498448,-0.048015,2.67998e-11,-3.26556e-12,4.08312e-12,-6.56773e-24,2.49912e-23,-1.02436e-23
1e+08,-0.0449201,-0.0372774,-0.0231268,5.65419e-13,2.73363e-12,2.99083e-12,-2.5604e-23,2.01488e-23,1.35105e-23
1e+08,-0.0139571,-0.0333436,-0.0342958,-1.27028e-13,-1.20532e-11,5.62828e-12,5.38686e-24,-2.76667e-23,5.01747e-24
1e+08,-0.0377151,-0.0196382,0.0241883,6.94247e-12,-6.46143e-12,1.10749e-11,-2.43651e-23,7.39185e-24,1.64172e-23
1e+08,0.0315831,0.0189533,-0.00362567,3.94816e-12,-7.60633e-12,-4.53e-12,-2.99796e-24,2.32752e-23,-2.11102e-23
1e+08,-0.0114355,-0.00936462,-0.0208511,1.61869e-11,9.36212e-12,-5.24797e-14,1.58947e-23,3.31564e-24,1.2573e-23
1e+08,-0.0138591,-0.0236507,0.0165368,2.60138e-12,-7.12354e-12,2.60816e-12,-3.16118e-24,-1.02131e-24,-1.25094e-23
1e+08,-0.00531485,0.0269309,-0.0423994,-1.18679e-12,-3.83788e-12,-9.19026e-12,-1.40969e-23,-1.95645e-23,-2.14058e-23
1e+08,-0.0157493,0.0150834,-0.00934995,2.62165e-12,3.20892e-11,2.38222e-11,-1.40406e-24,-2.19191e-24,-1.60004e-23
1e+08,-0.0328473,0.0278041,0.0397808,-1.21328e-11,2.0952e-11,-2.92445e-12,3.06277e-23,1.4634e-23,-1.64418e-23
1e+08,-0.0153771,0.039961,-0.0320692,5.96581e-12,1.77083e-11,-3.27078e-12,9.30363e-24,1.62029e-23,1.63848e-23
1e+08,-0.0109857,-0.0074751,-0.0343357,5.11411e-12,7.61938e-12,3.41012e-12,-1.22313e-23,2.73481e-23,2.46115e-23
